Firm,Sector,Super Sector,Start_Price,End_Price,Pct_Change
Saudi Kayan Petrochemical Co.,Materials,Industrial,11.14,7.02,-36.983842010772
Saudi Marketing Co.,Consumer Staples Distribution & Retail,Consumer Discretionary,15.9,22.62,42.26415094339623
Saudi Paper Manufacturing Co.,Materials,Industrial,7.96,64.9,715.3266331658292
Saudi Pharmaceutical Industries and Medical Appliances Corp.,Pharma Biotech & Life Science,Healthcare,27.5,31.95,16.18181818181818
Saudi Public Transport Co.,Transportation,Industrial,18.02,20.44,13.429522752497236
Saudi Reinsurance Co.,Insurance,Financial Services,8.51,53.9,533.3725029377204
Saudi Research and Media Group,Media and Entertainment,Communication Services,78.0,275.0,252.56410256410254
Saudi Steel Pipe Co.,Materials,Industrial,21.0,65.1,209.99999999999997
Saudi Tadawul Group Holding Co.,Financial Services,Financial Services,118.0,216.8,83.72881355932205
Saudi Telecom Co.,Telecommunication Services,Communication Services,40.32,40.0,-0.7936507936507943
Saudi Vitrified Clay Pipes Co.,Materials,Industrial,53.0,38.15,-28.01886792452831
Saudia Dairy and Foodstuff Co.,Food & Beverages,Consumer Staples,143.0,337.8,136.22377622377624
Savola Group,Food & Beverages,Consumer Staples,21.96,36.7,67.12204007285976
Scientific and Medical Equipment House Co.,Health Care Equipment & Svc,Healthcare,45.08,50.5,12.023070097604263
Seera Group Holding,Consumer Services,Consumer Discretionary,22.1,22.46,1.6289592760180969
Shatirah House Restaurant Co.,Consumer Services,Consumer Discretionary,22.52,20.96,-6.927175843694489
Sinad Holding Co.,Food & Beverages,Consumer Staples,9.22,13.7,48.59002169197395
Solidarity Saudi Takaful Co.,Insurance,Financial Services,12.38,14.2,14.701130856219697
Southern Province Cement Co.,Materials,Industrial,64.5,34.5,-46.51162790697674
Sustained Infrastructure Holding Co.,Transportation,Industrial,19.6,32.0,63.26530612244897
Svc Al Mawarid Manpower Co.,Commercial & Professional,Industrial,83.2,105.4,26.682692307692314
Svc CATRION Catering Holding Co.,Commercial & Professional,Industrial,102.0,122.0,19.607843137254903
Svc Maharah Human Resources Co.,Commercial & Professional,Industrial,6.81,6.16,-9.544787077826717
Svc Sadr Logistics Co.,Commercial & Professional,Industrial,4.41,3.23,-26.75736961451247
Svc Saudi Manpower Solutions Co.,Commercial & Professional,Industrial,9.05,7.66,-15.359116022099453
Svc Saudi Printing and Packaging Co.,Commercial & Professional,Industrial,13.02,12.24,-5.990783410138245
Svc Tamkeen Human Resource Co.,Commercial & Professional,Industrial,65.0,64.1,-1.3846153846153932
Tabuk Agricultural Development Co.,Food & Beverages,Consumer Staples,12.83,15.1,17.692907248636004
Tabuk Cement Co.,Materials,Industrial,16.12,12.86,-20.223325062034746
Takween Advanced Industries Co.,Materials,Industrial,13.26,10.48,-20.965309200603315
Taleem REIT Fund,REITs,Real Estate,12.66,10.24,-19.115323854660346
Tanmiah Food Co.,Food & Beverages,Consumer Staples,87.1,121.0,38.9207807118255
The Company for Cooperative Insurance,Insurance,Financial Services,63.58,147.6,132.14847436300724
The Mediterranean and Gulf Insurance and Reinsurance Co.,Insurance,Financial Services,15.63,26.05,66.66666666666666
The National Company for Glass Industries,Materials,Industrial,17.68,54.3,207.12669683257917
The Power and Water Utility Company for Jubail and Yanbu,Utilities,Utilities,47.6,54.8,15.126050420168058
The Saudi National Bank,Banks,Financial Services,36.3,33.4,-7.988980716253439
Theeb Rent a Car Co.,Transportation,Industrial,52.0,76.6,47.30769230769229
Thimar Development Holding Co.,Consumer Staples Distribution & Retail,Consumer Discretionary,48.96,43.85,-10.437091503267974
Thob Al Aseel Co.,Consumer Durables & Apparel,Consumer Discretionary,3.26,4.25,30.36809815950921
Tihama Advertising and Public Relations Co.,Media and Entertainment,Communication Services,20.56,15.34,-25.389105058365757
Tourism Enterprise Co.,Consumer Services,Consumer Discretionary,0.35,0.96,174.28571428571428
Umm Al-Qura Cement Co.,Materials,Industrial,22.0,18.62,-15.36363636363636
United Cooperative Assurance Co.,Insurance,Financial Services,9.28,8.92,-3.87931034482758
United Electronics Co.,Consumer Discretionary Distribution & Retail,Consumer Discretionary,46.67,90.2,93.27190914934647
United International Holding Co.,Financial Services,Financial Services,171.6,180.0,4.8951048951048985
United International Transportation Co.,Transportation,Industrial,36.95,81.9,121.65087956698241
United Wire Factories Co.,Materials,Industrial,24.45,28.95,18.404907975460123
Wafrah for Industry and Development Co.,Food & Beverages,Consumer Staples,14.75,38.45,160.67796610169495
Walaa Cooperative Insurance Co.,Insurance,Financial Services,14.05,19.36,37.79359430604981
Wataniya Insurance Co.,Insurance,Financial Services,12.11,24.52,102.47729149463254
Yamama Cement Co.,Materials,Industrial,26.6,35.05,31.766917293233064
Yanbu Cement Co.,Materials,Industrial,39.65,24.3,-38.71374527112232
Yanbu National Petrochemical Co.,Materials,Industrial,56.0,37.8,-32.50000000000001
Zahrat Al Waha for Trading Co.,Materials,Industrial,31.83,32.4,1.7907634307257316
Zamil Industrial Investment Co.,Materials,Industrial,18.44,32.35,75.43383947939262
